trace,total,mispredict,accuracy
400.perlbench-41B,50002,16876,66.25
401.bzip2-7B,50000,19730,60.54
403.gcc-16B,50003,0,100
410.bwaves-945B,50001,9245,81.51
416.gamess-875B,50003,21341,57.32
429.mcf-22B,50001,23440,53.12
433.milc-127B,50003,8336,83.33
434.zeusmp-10B,50002,25976,48.05
435.gromacs-111B,50002,21206,57.59
436.cactusADM-1804B,50002,44287,11.43
437.leslie3d-134B,50000,2285,95.43
444.namd-23B,50003,615,98.77
445.gobmk-2B,50000,20300,59.4
447.dealII-3B,50001,15655,68.69
450.soplex-92B,50003,160,99.68
453.povray-252B,50000,19085,61.83
454.calculix-104B,50000,15810,68.38
456.hmmer-88B,50003,30007,39.99
458.sjeng-31B,50001,21010,57.98
459.GemsFDTD-765B,50003,15291,69.42
462.libquantum-714B,50001,0,100
464.h264ref-30B,50001,14095,71.81
465.tonto-44B,50003,19991,60.02
470.lbm-1274B,50002,18296,63.41
481.wrf-196B,50002,745,98.51
482.sphinx3-234B,50002,10385,79.23
623.xalancbmk_s-10B,50000,23160,53.68
625.x264_s-12B,50003,11036,77.93
628.pop2_s-17B,50000,14235,71.53
649.fotonik3d_s-1B,50000,15990,68.02
