trace,total,mispredict,accuracy
400.perlbench-41B,50002,14616,70.77
401.bzip2-7B,50000,28600,42.8
403.gcc-16B,50003,0,100
410.bwaves-945B,50001,24740,50.52
416.gamess-875B,50001,21775,56.45
429.mcf-22B,50001,30756,38.49
433.milc-127B,50003,8336,83.33
434.zeusmp-10B,50000,18915,62.17
435.gromacs-111B,50002,24501,51
436.cactusADM-1804B,50002,5715,88.57
437.leslie3d-134B,50000,1220,97.56
444.namd-23B,50002,6810,86.38
445.gobmk-2B,50000,22440,55.12
447.dealII-3B,50002,15646,68.71
450.soplex-92B,50003,65,99.87
453.povray-252B,50000,18895,62.21
454.calculix-104B,50000,23815,52.37
456.hmmer-88B,50003,34222,31.56
458.sjeng-31B,50001,24980,50.04
459.GemsFDTD-765B,50002,35516,28.97
462.libquantum-714B,50001,0,100
464.h264ref-30B,50001,13380,73.24
465.tonto-44B,50001,25951,48.1
470.lbm-1274B,50002,20116,59.77
481.wrf-196B,50002,23791,52.42
482.sphinx3-234B,50002,38207,23.59
623.xalancbmk_s-10B,50000,25935,48.13
625.x264_s-12B,50000,22465,55.07
628.pop2_s-17B,50000,12055,75.89
649.fotonik3d_s-1B,50000,18155,63.69
