trace,total,mispredict,accuracy
400.perlbench-41B,50002,24311,51.38
401.bzip2-7B,50000,18870,62.26
403.gcc-16B,50003,0,100
410.bwaves-945B,50000,26780,46.44
416.gamess-875B,50000,19560,60.88
429.mcf-22B,50001,15565,68.87
433.milc-127B,50003,8336,83.33
434.zeusmp-10B,50002,21966,56.07
435.gromacs-111B,50002,21216,57.57
436.cactusADM-1804B,50002,42857,14.29
437.leslie3d-134B,50000,36470,27.06
444.namd-23B,50000,43665,12.67
445.gobmk-2B,50000,16275,67.45
447.dealII-3B,50002,18461,63.08
450.soplex-92B,50003,25867,48.27
453.povray-252B,50000,15570,68.86
454.calculix-104B,50000,18100,63.8
456.hmmer-88B,50003,15981,68.04
458.sjeng-31B,50001,20595,58.81
459.GemsFDTD-765B,50003,12546,74.91
462.libquantum-714B,50001,0,100
464.h264ref-30B,50001,4945,90.11
465.tonto-44B,50004,13106,73.79
470.lbm-1274B,50002,10175,79.65
481.wrf-196B,50003,48128,3.749
482.sphinx3-234B,50002,9480,81.04
623.xalancbmk_s-10B,50000,18510,62.98
625.x264_s-12B,50003,18076,63.85
628.pop2_s-17B,50000,26570,46.86
649.fotonik3d_s-1B,50000,16030,67.94
