trace,total,mispredict,accuracy
400.perlbench-41B,50002,15901,68.2
401.bzip2-7B,50000,19900,60.2
403.gcc-16B,50003,0,100
410.bwaves-945B,50001,8200,83.6
416.gamess-875B,50001,21740,56.52
429.mcf-22B,50001,18865,62.27
433.milc-127B,50003,8336,83.33
434.zeusmp-10B,50000,26015,47.97
435.gromacs-111B,50002,22341,55.32
436.cactusADM-1804B,50002,21431,57.14
437.leslie3d-134B,50000,1220,97.56
444.namd-23B,50001,5775,88.45
445.gobmk-2B,50000,16120,67.76
447.dealII-3B,50001,17705,64.59
450.soplex-92B,50003,65,99.87
453.povray-252B,50000,18795,62.41
454.calculix-104B,50000,16620,66.76
456.hmmer-88B,50003,28932,42.14
458.sjeng-31B,50001,20805,58.39
459.GemsFDTD-765B,50003,14951,70.1
462.libquantum-714B,50001,0,100
464.h264ref-30B,50001,12695,74.61
465.tonto-44B,50004,16401,67.2
470.lbm-1274B,50002,19606,60.79
481.wrf-196B,50003,1115,97.77
482.sphinx3-234B,50002,9600,80.8
623.xalancbmk_s-10B,50000,19440,61.12
625.x264_s-12B,50003,7940,84.12
628.pop2_s-17B,50000,17020,65.96
649.fotonik3d_s-1B,50000,17035,65.93
