trace,total,mispredict,accuracy
400.perlbench-41B,50002,15771,68.46
401.bzip2-7B,50000,19075,61.85
403.gcc-16B,50003,0,100
410.bwaves-945B,50001,8055,83.89
416.gamess-875B,50002,21296,57.41
429.mcf-22B,50001,17025,65.95
433.milc-127B,50003,8336,83.33
434.zeusmp-10B,50002,25926,48.15
435.gromacs-111B,50002,20286,59.43
436.cactusADM-1804B,50002,47145,5.714
437.leslie3d-134B,50000,1675,96.65
444.namd-23B,50003,5875,88.25
445.gobmk-2B,50000,19460,61.08
447.dealII-3B,50002,13991,72.02
450.soplex-92B,50003,65,99.87
453.povray-252B,50000,18465,63.07
454.calculix-104B,50000,16095,67.81
456.hmmer-88B,50003,31872,36.26
458.sjeng-31B,50001,20545,58.91
459.GemsFDTD-765B,50003,15121,69.76
462.libquantum-714B,50001,0,100
464.h264ref-30B,50001,14780,70.44
465.tonto-44B,50004,23222,53.56
470.lbm-1274B,50002,19171,61.66
481.wrf-196B,50003,1115,97.77
482.sphinx3-234B,50002,10515,78.97
623.xalancbmk_s-10B,50000,17595,64.81
625.x264_s-12B,50003,8275,83.45
628.pop2_s-17B,50000,15290,69.42
649.fotonik3d_s-1B,50000,17135,65.73
