trace,total,mispredict,accuracy
400.perlbench-41B,50002,18216,63.57
401.bzip2-7B,50000,20095,59.81
403.gcc-16B,50003,0,100
410.bwaves-945B,50001,9395,81.21
416.gamess-875B,50003,21476,57.05
429.mcf-22B,50001,25116,49.77
433.milc-127B,50003,16666,66.67
434.zeusmp-10B,50002,25966,48.07
435.gromacs-111B,50002,21006,57.99
436.cactusADM-1804B,50002,5715,88.57
437.leslie3d-134B,50000,1790,96.42
444.namd-23B,50003,5665,88.67
445.gobmk-2B,50000,19495,61.01
447.dealII-3B,50001,14155,71.69
450.soplex-92B,50003,190,99.62
453.povray-252B,50002,18756,62.49
454.calculix-104B,50000,15615,68.77
456.hmmer-88B,50003,29677,40.65
458.sjeng-31B,50001,22135,55.73
459.GemsFDTD-765B,50003,10826,78.35
462.libquantum-714B,50001,0,100
464.h264ref-30B,50001,9175,81.65
465.tonto-44B,50004,19872,60.26
470.lbm-1274B,50002,20626,58.75
481.wrf-196B,50002,745,98.51
482.sphinx3-234B,50002,16686,66.63
623.xalancbmk_s-10B,50000,23135,53.73
625.x264_s-12B,50003,11036,77.93
628.pop2_s-17B,50000,17295,65.41
649.fotonik3d_s-1B,50000,16605,66.79
