trace,total,mispredict,accuracy
400.perlbench-41B,50002,21416,57.17
401.bzip2-7B,50000,16430,67.14
403.gcc-16B,50003,0,100
410.bwaves-945B,50001,16560,66.88
416.gamess-875B,50001,22535,54.93
429.mcf-22B,50001,31821,36.36
433.milc-127B,50003,8336,83.33
434.zeusmp-10B,50002,13676,72.65
435.gromacs-111B,50002,18386,63.23
436.cactusADM-1804B,50002,47145,5.714
437.leslie3d-134B,50000,1640,96.72
444.namd-23B,50003,615,98.77
445.gobmk-2B,50000,19495,61.01
447.dealII-3B,50002,15226,69.55
450.soplex-92B,50003,65,99.87
453.povray-252B,50000,18365,63.27
454.calculix-104B,50000,23815,52.37
456.hmmer-88B,50003,18811,62.38
458.sjeng-31B,50001,20805,58.39
459.GemsFDTD-765B,50003,13231,73.54
462.libquantum-714B,50001,0,100
464.h264ref-30B,50001,12655,74.69
465.tonto-44B,50004,12961,74.08
470.lbm-1274B,50002,10175,79.65
481.wrf-196B,50003,1115,97.77
482.sphinx3-234B,50002,10815,78.37
623.xalancbmk_s-10B,50000,18510,62.98
625.x264_s-12B,50003,8275,83.45
628.pop2_s-17B,50000,11710,76.58
649.fotonik3d_s-1B,50000,16730,66.54
