trace,total,mispredict,accuracy
400.perlbench-41B,50002,15706,68.59
401.bzip2-7B,50000,22465,55.07
403.gcc-16B,50003,0,100
410.bwaves-945B,50001,9190,81.62
416.gamess-875B,50003,21681,56.64
429.mcf-22B,50001,23250,53.5
433.milc-127B,50003,8336,83.33
434.zeusmp-10B,50002,25851,48.3
435.gromacs-111B,50002,20081,59.84
436.cactusADM-1804B,50002,5715,88.57
437.leslie3d-134B,50000,1260,97.48
444.namd-23B,50002,5880,88.24
445.gobmk-2B,50000,19265,61.47
447.dealII-3B,50001,15865,68.27
450.soplex-92B,50003,70,99.86
453.povray-252B,50000,18905,62.19
454.calculix-104B,50000,13300,73.4
456.hmmer-88B,50002,29621,40.76
458.sjeng-31B,50001,21470,57.06
459.GemsFDTD-765B,50003,10826,78.35
462.libquantum-714B,50001,0,100
464.h264ref-30B,50001,14120,71.76
465.tonto-44B,50004,18136,63.73
470.lbm-1274B,50002,20046,59.91
481.wrf-196B,50002,745,98.51
482.sphinx3-234B,50002,10865,78.27
623.xalancbmk_s-10B,50000,17595,64.81
625.x264_s-12B,50003,8501,83
628.pop2_s-17B,50000,17025,65.95
649.fotonik3d_s-1B,50000,16510,66.98
